paper_id;author_id;author_sequence_number
944919814;2266709856;2
944919814;2584097993;4
945137967;2121561944;1
945137967;2307322189;2
945137967;2444531610;4
945137967;2488381894;3
945500432;1809679444;1
946514950;2029890749;1
946514950;2100161233;4
946514950;2123990492;3
946514950;2425653831;2
948672057;236473263;1
950567280;2100025472;3
950567280;2107422759;2
950567280;2158415352;5
950567280;2159415641;1
950567280;2171628179;4
951176404;2028090069;2
951176404;2037113241;1
953690883;2290327025;1
954369488;948333377;3
954369488;2142680910;1
954369488;2626580079;2
955050990;2638212869;1
958716188;2518003550;1
959138535;2567067680;1
959910197;2129499255;1
960536581;1778053037;1
961140229;2054705426;1
961140229;2142638398;2
961140229;2146211474;3
961140229;2565438480;4
961140229;2567715395;5
961209560;2101847666;1
961816619;2897044743;1
962367440;2026969585;1
963507111;2100560053;1
964029833;2128839203;2
964029833;2311347248;1
964770945;2193643166;2
964770945;2657179929;1
967366361;2443548209;1
969263111;2043930428;3
969263111;2155519033;2
969263111;2252229207;1
969263111;2562745087;4
970332464;2005151207;4
970332464;2032751658;1
970332464;2113647723;2
970332464;2134989198;3
970716115;2043930428;3
970716115;2096412690;2
970716115;2252229207;4
970716115;2293936679;1
970729807;2767858070;1
970729807;2778462909;2
974854687;2096259150;2
974854687;2651880666;1
975896355;2106744848;1
976320109;2015412795;2
976320109;2097088498;3
976320109;2884315419;1
980281059;2582750203;1
980313803;1960462161;1
980729093;2158295860;1
981024309;1195310261;1
981024309;2110830583;4
981024309;2137929173;2
981024309;2159837179;3
981360081;2147223337;2
981360081;2166194952;1
981415048;954083824;1
981415048;2115884079;2
987573141;2009949849;1
987573141;2009949849;1
989198058;236473263;1
995414712;2106744848;1
995681285;2026169623;1
995681285;2030901828;6
995681285;2126990796;2
995681285;2281979691;3
995681285;2283095844;4
995681285;2284631961;5
996902485;765408933;2
996902485;2546919871;1
999546552;2522539616;1
1001605478;2029890749;1
1001605478;2425653831;2
1006291285;140757381;1
1006291285;2074023935;2
1008536385;2321919347;1
1008537549;2106744848;1
1009579471;1124837368;2
1009579471;1987788474;1
1009579471;2760865876;5
1009579471;2763422557;3
1009579471;2763889380;4
1014242692;2101542479;1
1014242692;2103126434;4
1014242692;2114047024;2
1014242692;2252844181;3
1014568344;111041040;1
1015771235;2482291878;1
1015871413;2563115263;1
1021409018;2109870564;1
1022254574;2128969408;1
1022290921;2656624901;1
1022313061;2884512082;1
1022569492;954083824;1
1022569492;2115884079;2
1022768046;2116200336;1
1027233207;1598617502;1
1029113988;2131134277;2
1029113988;2194230340;3
1029113988;2544590133;1
1031119709;2868824306;1
